year,tot_aeq
1992,10177.236640058121
1993,8411.375744968538
1994,4713.355771509204
1995,8218.98548540144
1996,4211.416351359064
1997,3546.8628306710107
1998,4809.573307381731
1999,2706.4272035578992
2000,7888.409995728936
2001,5083.483712133011
2002,7029.276709404013
2003,5005.916526262633
2004,12051.493853433658
2005,14651.75634957792
2006,10524.903725459924
2007,10106.225277926655
2008,10386.584207736138
2009,11770.7787232311
2010,4834.280167586213
2011,8523.696378571742
2012,9323.828924299278
2013,7235.060848145243
2014,7529.854210222562
2015,7973.850821873664
2016,9725.420160989028
