year,2,3,4,5
1983,17,108,355,141
1984,12,168,203,36
1985,14,427,1484,82
1986,10,137,1101,594
1987,7,92,156,76
1988,11,111,701,152
1989,15,416,641,347
1990,10,97,482,101
1991,2,84,251,179
1992,22,142,590,92
1993,14,82,143,52
1994,19,144,162,32
1995,0,23,47,14
1996,4,50,150,22
1997,0,33,117,31
1998,20,70,361,81
1999,11,179,178,138
2000,13,109,425,32
2001,3,58,439,165
2002,13,53,264,135
2003,11,164,290,103
2004,37,176,438,122
2005,6,191,361,201
2006,37,75,431,132
2007,12,208,290,141
2008,32,900,1627,196
2009,18,97,852,107
2010,13,75,156,132
2011,25,423,513,46
2012,17,202,636,106
2013,9,66,417,119
2014,7,190,259,100
2015,24,113,363,57
2016,29,161,369,108
2017,1,53,358,25
2018,32,129,337,27
2019,10,174,762,83
